suite,condition,seed,robust_repair,passive_coarse_bins,passive_medium_bins,passive_fine_bins,passive_trace_bins,probe_reject_threshold
main_sweep,uniform,7100,delay_brake,2,22,68,107,438598154260.48267
main_sweep,uniform,7101,delay_brake,2,24,72,126,661498330775.3556
main_sweep,uniform,7102,delay_brake,2,24,68,111,816683819787.0203
main_sweep,uniform,7103,delay_brake,2,24,67,115,821827879038.0841
main_sweep,uniform,7104,delay_brake,2,23,71,117,915959354835.91
main_sweep,uniform,7105,delay_brake,2,23,75,116,700293577500.7192
mechanism_mix,compliance_rare,7100,delay_brake,2,22,70,110,0.0025
mechanism_mix,compliance_rare,7101,delay_brake,2,23,71,109,18996238144.816223
mechanism_mix,compliance_rare,7102,delay_brake,2,21,65,100,0.0025
mechanism_mix,compliance_rare,7103,delay_brake,2,25,69,109,0.0025
mechanism_mix,compliance_rare,7104,delay_brake,2,24,69,110,0.0025
mechanism_mix,delay_heavy,7100,delay_brake,2,21,52,83,1136084763074.601
mechanism_mix,delay_heavy,7101,delay_brake,2,19,49,83,623844575913.9696
mechanism_mix,delay_heavy,7102,delay_brake,2,21,50,81,254968658066.1893
mechanism_mix,delay_heavy,7103,delay_brake,2,21,51,88,254599016357.11432
mechanism_mix,delay_heavy,7104,delay_brake,2,19,47,83,642334458579.7322
mechanism_mix,gain_heavy,7100,delay_brake,2,19,50,89,1344652595366.0469
mechanism_mix,gain_heavy,7101,delay_brake,2,20,50,84,796945488146.897
mechanism_mix,gain_heavy,7102,delay_brake,2,20,54,89,705407809286.7528
mechanism_mix,gain_heavy,7103,delay_brake,2,23,59,90,126601888458.50165
mechanism_mix,gain_heavy,7104,delay_brake,2,17,51,85,1046902739526.1403
mechanism_mix,slip_heavy,7100,delay_brake,2,26,98,146,1754855095072.7798
mechanism_mix,slip_heavy,7101,delay_brake,2,25,91,148,1773665354105.6104
mechanism_mix,slip_heavy,7102,delay_brake,2,25,92,138,844636889054.9304
mechanism_mix,slip_heavy,7103,delay_brake,2,26,94,151,616754375928.8314
mechanism_mix,slip_heavy,7104,delay_brake,2,25,90,150,767577637738.121
mechanism_mix,two_mechanism,7100,delay_brake,2,22,80,121,0.0025
mechanism_mix,two_mechanism,7101,delay_brake,2,22,87,115,0.0025
mechanism_mix,two_mechanism,7102,delay_brake,2,23,83,128,0.0025
mechanism_mix,two_mechanism,7103,delay_brake,2,20,77,111,0.0025
mechanism_mix,two_mechanism,7104,delay_brake,2,22,76,113,0.0025
mechanism_mix,uniform,7100,delay_brake,2,23,69,113,478144434900.41003
mechanism_mix,uniform,7101,delay_brake,2,22,60,104,713567599452.7617
mechanism_mix,uniform,7102,delay_brake,2,23,69,115,524276401604.88403
mechanism_mix,uniform,7103,delay_brake,2,24,71,120,709608021087.1123
mechanism_mix,uniform,7104,delay_brake,2,25,71,118,417000059720.604
passive_summary,uniform,7100,delay_brake,2,21,69,123,692228822601.0222
passive_summary,uniform,7101,delay_brake,2,23,78,129,848606089286.8787
passive_summary,uniform,7102,delay_brake,2,25,75,119,378516092326.98535
passive_summary,uniform,7103,delay_brake,2,25,77,123,549567555823.1318
passive_summary,uniform,7104,delay_brake,2,23,69,125,958049939330.8445
repair_ablation,missing_delay_brake,7100,slip_safe,2,22,69,111,611442173093.5518
repair_ablation,missing_delay_brake,7101,slip_safe,2,21,62,118,933520944318.72
repair_ablation,missing_delay_brake,7102,slip_safe,2,22,64,112,374824859002.27167
repair_ablation,missing_delay_brake,7103,slip_safe,2,24,69,122,651386292908.7733
repair_ablation,missing_delay_brake,7104,slip_safe,2,22,65,116,414978310749.07056
repair_ablation,missing_gain_comp,7100,delay_brake,2,22,73,113,847209387434.7659
repair_ablation,missing_gain_comp,7101,delay_brake,2,25,70,116,1049150762991.0415
repair_ablation,missing_gain_comp,7102,delay_brake,2,24,65,112,1072791522585.1289
repair_ablation,missing_gain_comp,7103,delay_brake,2,20,55,109,915241065009.6573
repair_ablation,missing_gain_comp,7104,delay_brake,2,22,73,119,1319737537132.8179
repair_ablation,missing_preload,7100,delay_brake,2,23,70,114,596548173015.9646
repair_ablation,missing_preload,7101,delay_brake,2,26,63,111,427193834801.7455
repair_ablation,missing_preload,7102,delay_brake,2,22,68,113,548043591921.2251
repair_ablation,missing_preload,7103,delay_brake,2,23,76,118,592722622944.1832
repair_ablation,missing_preload,7104,delay_brake,2,25,78,129,865526610173.5691
repair_ablation,missing_slip_safe,7100,delay_brake,2,22,67,111,600673250400.6654
repair_ablation,missing_slip_safe,7101,delay_brake,2,25,79,128,690641288093.951
repair_ablation,missing_slip_safe,7102,delay_brake,2,23,67,109,965020250585.0277
repair_ablation,missing_slip_safe,7103,delay_brake,2,23,67,109,771261707400.9675
repair_ablation,missing_slip_safe,7104,delay_brake,2,23,70,116,1005278937872.2563
repair_ablation,with_wrong_boost,7100,delay_brake,2,23,63,115,1003497661991.6803
repair_ablation,with_wrong_boost,7101,delay_brake,2,22,71,118,480937744670.1576
repair_ablation,with_wrong_boost,7102,delay_brake,2,24,69,114,782122428420.7029
repair_ablation,with_wrong_boost,7103,delay_brake,2,21,64,110,904835078220.8873
repair_ablation,with_wrong_boost,7104,delay_brake,2,25,73,117,1037373280010.0737
scale_sweep,train_1200,7100,delay_brake,2,25,84,145,158137380157.63824
scale_sweep,train_1200,7101,delay_brake,2,26,93,152,286661942170.8889
scale_sweep,train_160,7100,delay_brake,2,16,34,52,6571315155045.838
scale_sweep,train_160,7101,delay_brake,2,16,40,65,15864212647576.266
scale_sweep,train_160,7102,delay_brake,2,14,34,57,11528955946407.121
scale_sweep,train_160,7103,delay_brake,2,14,32,57,12192483537292.637
scale_sweep,train_320,7100,delay_brake,2,22,49,87,2208495322821.0996
scale_sweep,train_320,7101,delay_brake,2,21,51,85,4579405631285.797
scale_sweep,train_320,7102,delay_brake,2,19,45,84,3071231300062.366
scale_sweep,train_320,7103,delay_brake,2,19,55,80,6950944844616.494
scale_sweep,train_650,7100,delay_brake,2,20,71,116,491173534667.6559
scale_sweep,train_650,7101,delay_brake,2,24,70,121,610821329173.4941
scale_sweep,train_80,7100,delay_brake,2,14,29,41,82317186660692.34
scale_sweep,train_80,7101,delay_brake,2,14,28,38,36296055070430.125
scale_sweep,train_80,7102,delay_brake,2,9,21,34,67987375602761.555
scale_sweep,train_80,7103,delay_brake,2,14,28,38,85439025449795.56
threshold_sensitivity,0.03,7100,delay_brake,2,22,73,118,875497423485.9602
threshold_sensitivity,0.03,7101,delay_brake,2,26,77,124,767778058318.3774
threshold_sensitivity,0.03,7102,delay_brake,2,23,70,113,1343694077647.6553
threshold_sensitivity,0.03,7103,delay_brake,2,20,61,109,396211320484.91504
threshold_sensitivity,0.05,7100,delay_brake,2,22,69,122,683771697868.3054
threshold_sensitivity,0.07,7100,delay_brake,2,22,59,113,790746176231.4559
unknown_mixed,friction,7100,delay_brake,2,21,72,123,1322709489818.5254
unknown_mixed,friction,7101,delay_brake,2,23,63,108,894105512419.9131
unknown_mixed,friction,7102,delay_brake,2,24,74,121,855233032510.86
unknown_mixed,friction,7103,delay_brake,2,24,68,120,477166870845.11804
unknown_mixed,friction,7104,delay_brake,2,24,71,120,418643157098.86145
unknown_mixed,gain_delay,7100,delay_brake,2,23,68,113,1113670025515.7976
unknown_mixed,gain_delay,7101,delay_brake,2,22,66,112,1002404002176.7137
unknown_mixed,gain_delay,7102,delay_brake,2,24,73,118,631951524261.568
unknown_mixed,gain_delay,7103,delay_brake,2,24,64,113,862563368438.5293
unknown_mixed,gain_delay,7104,delay_brake,2,25,64,110,699136089929.1721
unknown_mixed,slip_compliance,7100,delay_brake,2,22,69,114,696788806600.8818
unknown_mixed,slip_compliance,7101,delay_brake,2,23,66,110,1025340840548.2249
unknown_mixed,slip_compliance,7102,delay_brake,2,23,65,118,474540737554.6908
